"Ardnacrusha, Limerick Division",11,13,24,29,21,37,36,36,28,21,13,13,17,19,19
"Castleconnell, Limerick Division",5,5,6,9,17,10,11,16,14,13,14,7,10,16,24
"Henry Street, Limerick Division",224,202,210,240,268,244,250,283,264,237,209,199,237,224,317
"Mayorstone Park, Limerick Division",118,110,114,125,130,178,160,197,136,141,111,89,119,133,143
"Abbeyfeale, Limerick Division",18,25,38,25,41,46,45,22,28,45,22,19,19,14,12
"Adare, Limerick Division",7,1,3,0,6,4,3,3,6,6,3,1,4,5,4
"Askeaton, Limerick Division",10,9,8,8,7,13,22,10,17,15,3,2,9,7,18
"Athea, Limerick Division",5,1,6,2,5,6,7,7,7,1,1,3,0,2,1
"Ballingarry, Limerick Division",6,0,1,3,4,4,6,1,5,5,7,4,1,2,3
"Croom, Limerick Division",14,3,5,3,8,16,16,9,8,9,5,3,15,15,6
"Drumcollogher, Limerick Division",4,4,6,4,8,6,5,4,7,8,8,3,8,4,1
"Foynes, Limerick Division",8,5,5,13,3,9,10,19,10,14,14,11,12,6,7
"Glin, Limerick Division",3,2,3,4,3,1,1,8,3,2,6,3,0,1,2
"Newcastle West, Limerick Division",29,25,44,53,40,65,49,54,48,79,56,45,33,69,58
"Pallaskenry, Limerick Division",7,3,5,7,10,3,17,12,6,6,2,1,4,6,3
"Rathkeale, Limerick Division",16,5,8,8,16,35,36,38,23,20,27,20,15,20,18
"Ballyneety, Limerick Division",12,9,10,7,11,9,4,8,4,5,9,4,18,13,6
"Caherconlish, Limerick Division",9,3,13,10,13,16,7,16,9,5,7,4,5,6,11
"Patrickswell, Limerick Division",9,5,4,13,13,22,8,10,15,11,16,7,11,7,13
"Roxboro Road, Limerick Division",135,154,182,215,274,284,185,163,185,136,163,148,198,170,181
"Banagher, Offaly Division",10,6,27,22,15,7,11,9,10,5,2,4,4,8,10
"Birr,  Offaly Division",37,33,50,46,46,44,61,48,30,35,42,37,35,37,46
"Cloghan, Co. Offaly, Offaly Division",6,8,4,9,5,7,8,9,8,10,4,3,9,4,4
"Ferbane, Offaly Division",12,11,12,8,8,11,4,8,7,4,11,12,11,8,10
"Kilcormac, Offaly Division",5,5,9,10,2,16,4,12,8,5,6,2,3,10,3
"Kinnitty, Offaly Division",5,3,4,6,0,2,1,4,0,2,0,1,2,2,3
"Shinrone, Offaly Division",0,3,1,2,0,5,1,1,3,1,4,3,13,7,4
"Abbeyleix, Laois Division",14,9,12,14,12,31,24,20,15,17,13,12,13,22,11
"Arles, Laois Division",2,3,1,1,7,7,6,8,10,7,4,3,2,5,3
"Ballylinan, Laois Division",7,11,14,17,13,14,11,9,3,2,5,3,10,5,7
"Borris-In-Ossory, Laois Division",3,2,3,5,2,1,3,2,2,1,2,0,4,5,4
"Clonaslee, Laois Division",2,0,1,3,4,5,1,4,4,4,3,5,1,5,7
"Durrow, Laois Division",7,8,4,6,4,9,6,4,7,2,3,4,4,3,5
"Mountmellick, Laois Division",14,14,15,14,29,35,34,24,32,31,28,41,60,25,50
"Mountrath, Laois Division",4,10,8,12,25,26,18,15,17,16,15,24,18,27,29
"Portarlington, Laois Division",29,23,25,22,39,29,39,57,45,47,44,51,43,48,95
"Portlaoise, Laois Division",77,78,87,90,95,168,155,97,98,119,102,147,182,174,210
"Rathdowney, Laois Division",4,9,14,11,14,13,3,10,12,6,6,3,9,2,13
"Stradbally Co Laois, Laois Division",5,2,7,4,2,4,7,8,11,15,11,7,9,5,16
"Clara, Offaly Division",12,14,8,16,8,6,35,28,13,32,8,8,19,18,23
"Clonbologue, Offaly Division",4,2,6,2,2,3,5,4,2,3,3,2,5,6,4
"Daingean, Offaly Division",11,13,29,14,11,1,9,7,9,11,8,9,7,2,3
"Edenderry, Offaly Division",47,26,46,43,59,27,41,37,45,37,36,27,42,39,39
"Rhode, Offaly Division",9,15,6,8,10,7,7,8,3,7,4,4,7,1,6
"Tullamore, Offaly Division",103,135,95,114,158,117,97,98,104,106,106,80,80,98,132
"Ashbourne, Meath Division",25,23,30,33,63,82,57,65,39,65,65,59,56,71,58
"Duleek, Meath Division",10,9,4,10,16,21,28,14,15,16,11,12,22,12,16
"Dunboyne, Meath Division",12,10,17,24,48,43,57,43,32,57,46,39,36,25,26
"Dunshaughlin, Meath Division",5,15,19,18,37,23,31,17,16,30,21,38,25,23,14
"Laytown, Meath Division",17,23,27,45,30,28,59,53,44,41,41,61,73,67,57
"Baile AÅtha Bui, Meath Division",8,8,20,31,32,44,25,32,30,10,12,17,15,12,19
"Kells Ceanannus Mor, Meath Division",33,35,44,55,45,50,57,93,84,71,50,33,42,36,32
"Oldcastle, Meath Division",9,9,15,20,13,21,31,29,19,12,9,12,8,6,8
"Navan, Meath Division",95,71,78,83,99,139,80,73,69,76,92,88,124,121,154
"Nobber, Meath Division",5,5,3,6,13,6,7,10,19,6,4,9,11,4,8
"Slane, Meath Division",4,5,6,7,8,8,13,4,4,1,13,10,14,6,20
"Ballivor, Meath Division",3,8,11,9,15,10,19,16,15,18,7,6,7,8,7
"Enfield, Meath Division",11,15,14,23,27,10,10,16,9,3,5,3,7,7,11
"Longwood, Meath Division",0,0,2,5,1,4,13,12,8,7,2,5,10,6,4
"Summerhill, Meath Division",6,4,3,3,5,6,6,11,4,2,5,1,5,7,4
"Trim, Meath Division",35,39,46,29,53,84,50,39,27,34,18,19,38,36,56
"Glasson, Westmeath Division",1,1,1,0,2,2,7,2,4,5,3,7,3,3,4
"Baltinglass, Wicklow Division",26,16,14,14,13,22,13,26,27,21,24,33,26,15,16
"Blessington, Wicklow Division",12,14,25,28,29,24,30,36,21,17,35,33,20,30,40
"Carnew, Wicklow Division",4,0,6,5,9,14,5,9,11,11,7,4,9,17,21
"Dunlavin, Wicklow Division",10,5,8,4,2,7,8,9,9,5,6,5,5,5,5
"Shillelagh, Wicklow Division",0,4,1,3,3,15,9,5,4,2,4,9,2,7,2
"Tinahely, Wicklow Division",2,3,3,5,6,10,11,4,3,6,5,6,9,8,3
"Bray, Wicklow Division",68,69,99,92,123,191,183,171,174,148,116,134,127,109,125
"Enniskerry, Wicklow Division",5,6,7,9,2,11,4,4,4,4,8,5,4,6,4
"Greystones, Wicklow Division",23,34,32,37,54,64,51,57,53,73,55,40,47,39,39
"Newtownmountkennedy, Wicklow Division",10,10,15,25,21,15,20,10,11,11,15,16,18,16,14
"Arklow, Wicklow Division",48,57,77,72,63,90,99,87,48,98,80,72,70,72,84
"Ashford, Wicklow Division",7,12,18,9,24,13,13,11,15,12,10,16,33,11,6
"Aughrim, Wicklow Division",0,2,1,3,5,4,8,2,9,8,14,9,6,3,12
"Avoca, Wicklow Division",2,3,6,7,1,4,8,4,3,6,4,2,10,2,5
"Rathdrum, Wicklow Division",9,9,8,9,7,15,24,14,15,11,16,12,19,20,19
"Roundwood, Wicklow Division",1,4,2,8,1,5,5,6,15,11,10,14,10,9,11
"Wicklow, Wicklow Division",59,68,46,57,82,81,77,79,78,87,73,72,43,52,51
"Athlone, Westmeath Division",95,97,136,125,154,116,115,145,131,117,102,108,92,106,92
"Ballymore, Westmeath Division",3,1,1,0,2,1,3,2,3,3,3,2,1,2,3
"Kilbeggan, Westmeath Division",16,3,5,3,13,11,26,3,11,16,5,7,7,4,10
"Moate, Westmeath Division",8,13,7,16,13,8,10,17,7,13,7,9,4,12,5
"Ballynacargy, Westmeath Division",12,7,3,5,10,11,7,6,4,0,3,6,3,2,2
"Castlepollard, Westmeath Division",6,10,23,14,18,17,11,5,7,12,2,1,1,3,7
"Delvin, Westmeath Division",10,7,4,8,10,8,8,10,13,13,4,9,3,9,2
"Killucan, Westmeath Division",9,8,12,2,9,6,8,7,9,6,2,6,6,5,5
"Kinnegad, Westmeath Division",13,15,8,14,20,30,18,15,20,18,7,14,21,25,18
"Mullingar, Westmeath Division",106,77,105,111,146,199,169,131,133,107,97,119,143,114,149
"Multyfarnham, Westmeath Division",3,1,2,1,4,2,3,4,4,1,3,4,1,2,4
"Rochfortbridge, Westmeath Division",3,6,8,7,6,9,10,9,11,10,9,6,3,11,10
"Athy, Kildare Division",101,63,55,61,51,61,77,69,95,92,56,67,92,73,87
"Castledermot, Kildare Division",9,2,0,6,5,7,18,12,10,15,8,7,24,11,8
"Kildare, Kildare Division",44,35,52,38,54,59,59,64,49,37,41,42,49,45,37
"Monasterevin, Kildare Division",8,11,12,11,24,38,29,28,18,20,28,23,21,23,26
"Newbridge, Kildare Division",91,100,81,100,127,103,118,114,103,96,64,95,100,76,138
"Rathangan, Kildare Division",9,8,14,17,20,27,16,10,21,28,22,29,13,7,9
"Carbury, Kildare Division",8,10,5,5,13,15,9,12,13,20,9,9,9,11,9
"Celbridge, Kildare Division",28,37,30,30,34,36,28,31,52,34,49,26,56,52,56
"Kilcock, Kildare Division",1,2,13,18,34,42,55,23,37,28,23,18,14,20,31
"Leixlip, Kildare Division",77,53,46,33,40,48,58,39,51,34,35,27,33,42,62
"Maynooth, Kildare Division",32,23,30,42,67,58,43,55,62,71,47,41,49,50,63
"Clane, Kildare Division",19,23,26,44,40,45,31,25,36,36,41,33,30,53,53
"Kilcullen, Kildare Division",15,14,11,11,24,34,34,20,13,31,23,11,17,7,15
"Naas, Kildare Division",105,84,92,94,134,119,137,124,163,99,122,89,138,123,131
"Robertstown, Kildare Division",4,15,12,9,23,29,20,43,20,10,11,15,19,30,27
"Ardfinnan, Tipperary Division",2,1,0,3,3,10,3,2,11,4,3,3,3,1,2
"Ballyporeen, Tipperary Division",0,4,2,0,6,5,4,1,4,3,3,5,2,4,1
"Cahir, Tipperary Division",15,21,27,21,27,44,37,21,34,23,23,24,17,19,19
"Cashel, Tipperary Division",23,24,23,27,33,29,33,31,35,20,30,28,29,32,31
"Clogheen, Co. Tipperary, Tipperary Division",3,2,1,1,5,3,3,5,4,7,4,4,3,3,0
"Carrick-On-Suir, Tipperary Division",29,24,30,50,46,59,44,30,36,30,42,26,31,35,48
"Carrig na Bhfear, Cork City Division",1,1,5,3,2,5,3,10,4,5,0,1,2,4,3
"Clonmel, Tipperary Division",65,89,133,97,114,107,85,82,91,70,72,94,105,96,117
"Fethard, Tipperary Division",0,3,14,11,11,10,19,22,14,12,15,9,5,12,11
"Kilsheelan, Tipperary Division",1,4,3,3,1,4,2,2,2,2,4,0,1,2,0
"Mullinahone, Tipperary Division",3,0,2,1,3,2,4,4,7,5,1,0,4,3,4
"Ballingarry North, Tipperary Division",2,0,0,1,0,0,0,3,1,0,0,0,1,0,1
"Borrisokane, Tipperary Division",1,3,3,5,3,2,2,6,5,4,3,7,2,4,3
"Cloughjordan, Tipperary Division",1,0,2,4,0,0,2,0,4,0,2,2,0,0,2
"Dolla, Tipperary Division",1,1,1,0,1,2,1,2,0,0,0,0,0,0,0
"Lorrha, Tipperary Division",3,4,5,3,1,2,3,0,0,2,1,0,1,0,6
"Nenagh, Tipperary Division",44,37,47,49,69,76,49,49,46,38,47,34,52,44,56
"Newport, Co Tipperary, Tipperary Division",12,11,3,3,12,6,9,11,9,7,3,6,7,8,8
"Portroe, Tipperary Division",0,0,0,1,0,1,1,0,2,3,2,2,8,1,3
"Toomevara, Tipperary Division",1,0,1,3,2,7,0,2,3,0,0,1,0,0,0
"Borrisoleigh, Tipperary Division",3,2,2,2,1,9,5,3,3,5,3,3,8,8,11
"Moneygall, Tipperary Division",0,0,4,0,0,1,0,3,0,2,2,2,0,1,2
"Moyne, Tipperary Division",0,1,1,1,0,3,1,2,2,0,1,0,1,2,0
"Roscrea, Tipperary Division",29,36,11,27,12,39,37,28,16,22,18,13,25,15,27
"Shevry, Tipperary Division",1,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"Templederry, Tipperary Division",0,0,1,1,1,0,0,0,4,0,0,3,0,2,0
"Templemore, Tipperary Division",32,35,22,16,27,21,32,16,22,12,12,11,12,16,25
"Templetuohy, Tipperary Division",1,3,4,1,1,2,4,4,2,7,0,1,0,2,3
"Ballingarry South, Tipperary Division",6,7,2,4,10,5,7,1,6,3,0,0,4,1,7
"Holycross, Tipperary Division",1,1,2,3,2,1,5,2,0,5,2,1,6,7,5
"Killenaule, Tipperary Division",3,4,10,8,4,5,12,4,13,6,9,6,10,7,8
"Littleton, Tipperary Division",2,4,2,4,6,5,5,4,3,3,2,2,5,6,7
"Thurles, Tipperary Division",54,62,48,54,69,77,83,75,59,55,57,41,66,67,59
"Bansha, Tipperary Division",5,3,4,1,4,3,3,3,3,4,4,1,4,1,1
"Cappawhite, Tipperary Division",6,8,7,10,7,8,8,10,2,9,3,4,5,1,9
"Emly, Tipperary Division",3,3,4,8,6,8,4,4,2,2,4,2,1,3,3
"Golden, Tipperary Division",3,3,2,3,3,2,1,4,0,5,2,1,1,0,1
"Tipperary, Tipperary Division",64,50,49,58,50,57,65,49,60,44,34,41,38,47,44
"Blackwater, Wexford Division",5,5,3,10,16,6,3,3,5,4,3,3,6,9,9
"Clonroche, Wexford Division",11,9,9,12,9,8,9,9,2,2,1,2,5,8,12
"Enniscorthy, Wexford Division",46,40,69,71,89,80,102,80,75,76,50,54,86,103,104
"Ferns, Wexford Division",2,6,7,0,9,9,8,13,5,12,5,2,12,5,12
"Oulart, Wexford Division",2,3,3,3,5,13,12,10,6,6,4,6,12,3,5
"Oylegate, Wexford Division",3,2,5,1,11,12,4,4,3,4,2,1,1,7,6
"Bunclody, Wexford Division",20,10,21,16,31,28,20,22,25,27,15,12,9,8,10
"Courtown Harbour, Wexford Division",17,20,11,12,12,19,18,12,23,18,17,22,23,23,14
"Gorey, Wexford Division",27,36,43,59,45,58,56,56,50,60,37,53,53,62,82
"Ballycullane, Wexford Division",5,0,5,6,5,2,8,4,4,4,4,5,5,11,8
"Campile, Wexford Division",5,3,4,7,4,8,4,5,6,4,0,4,12,3,2
"Carrickbyrne, Wexford Division",6,8,6,3,14,13,6,2,12,5,2,1,9,0,6
"Carrick-on-Bannow, Wexford Division",4,6,2,11,10,13,16,19,16,5,7,3,5,8,6
"Duncannon, Wexford Division",14,10,4,9,21,14,6,12,11,10,11,3,6,4,4
"New Ross, Wexford Division",37,32,36,61,65,73,75,69,63,53,65,48,57,54,62
"Castlebridge, Wexford Division",5,4,3,7,4,6,4,12,8,14,6,6,11,7,7
"Glynn, Wexford Division",1,2,2,2,4,0,6,3,7,6,4,5,0,1,3
"Kilmore Quay, Wexford Division",6,6,9,5,10,11,15,12,12,19,8,11,17,14,6
"Rosslare Harbour, Wexford Division",3,11,5,8,16,14,26,7,15,12,11,7,14,7,10
"Rosslare Strand, Wexford Division",7,12,10,6,5,7,21,11,9,14,4,15,7,2,3
"Taghmon, Wexford Division",11,6,2,2,7,10,13,11,12,7,4,8,8,2,8
"Wexford, Wexford Division",86,77,78,88,123,106,87,110,95,114,101,102,92,103,140
"Ballon, Carlow Division",4,0,3,5,5,7,5,7,5,4,6,1,4,6,4
"Borris, Carlow Division",2,0,4,1,4,6,9,3,8,4,1,15,7,4,4
"Carlow, Carlow Division",124,141,143,173,170,214,275,253,181,132,116,124,102,105,156
"Hacketstown, Carlow Division",3,3,5,6,4,0,7,5,10,1,1,4,4,4,6
"Muine Bheag, Carlow Division",15,20,13,29,50,48,47,39,24,23,11,13,16,16,9
"Myshall, Carlow Division",0,1,0,4,2,6,5,7,4,1,6,5,0,2,2
"Rathvilly, Carlow Division",2,5,0,6,6,5,6,4,5,2,1,2,1,3,1
"Tullow, Carlow Division",13,14,17,6,17,29,22,23,16,16,14,17,20,23,20
"Callan, Kilkenny Division",7,15,10,11,23,9,20,15,19,20,17,12,16,17,14
"Castlecomer, Kilkenny Division",30,23,24,33,51,17,15,12,16,18,13,10,20,14,16
"Freshford, Kilkenny Division",0,1,5,2,5,1,0,4,1,5,5,2,5,2,0
"Kilkenny, Kilkenny Division",116,140,154,194,192,222,227,253,207,128,178,199,256,238,232
"Urlingford, Kilkenny Division",12,10,8,9,19,15,5,11,4,3,15,10,13,16,4
"Ballyhale, Kilkenny Division",2,2,3,1,2,2,4,2,2,1,3,1,2,3,1
"Bennettsbridge, Kilkenny Division",0,1,2,2,6,6,2,0,1,2,0,1,0,1,1
"Glenmore, Kilkenny Division",2,2,4,1,3,1,1,1,3,3,0,2,4,3,4
"Goresbridge, Kilkenny Division",3,1,1,2,2,4,1,7,10,5,2,1,2,3,4
"Graiguenamanagh, Kilkenny Division",10,5,4,7,9,11,11,10,7,7,3,3,4,3,7
"Kilmacow, Kilkenny Division",0,11,3,1,2,1,2,3,5,4,0,0,3,6,7
"Kilmoganny, Kilkenny Division",1,0,1,1,0,5,1,1,2,4,3,3,0,0,3
"Mooncoin, Kilkenny Division",1,2,1,1,3,7,10,7,12,5,3,8,4,6,1
"Mullinavat, Kilkenny Division",1,1,5,1,2,4,4,5,2,4,1,1,2,6,6
"Piltown, Kilkenny Division",1,1,1,3,8,3,5,9,3,8,5,3,7,4,6
"Stoneyford, Kilkenny Division",0,0,3,0,1,2,2,0,2,1,2,2,5,2,4
"Thomastown, Kilkenny Division",7,3,8,8,11,8,18,20,19,22,8,15,8,11,12
"Aglish, Waterford Division",2,4,4,3,1,2,0,4,2,1,2,3,3,2,1
"An Rinn, Waterford Division",2,1,0,0,2,3,1,0,5,0,2,0,1,3,4
"Ardmore, Waterford Division",1,3,14,0,1,3,8,2,1,1,1,5,3,2,3
"Ballymacarberry, Waterford Division",3,4,0,3,2,3,0,6,6,2,3,6,2,3,3
"Cappoquin, Waterford Division",1,3,3,5,6,6,11,5,9,8,4,13,13,9,7
"Dungarvan, Waterford Division",46,40,47,77,127,95,96,99,93,96,65,70,83,74,74
"Lismore, Waterford Division",9,9,3,5,5,7,13,14,4,11,10,11,3,8,5
"Tallow, Waterford Division",1,5,0,2,2,6,4,4,2,5,2,3,10,7,3
"Kill, Co Waterford, Waterford Division",2,5,6,6,3,8,5,6,3,4,3,3,11,5,9
"Kilmacthomas, Waterford Division",3,4,5,6,11,4,11,3,15,8,7,6,9,9,7
"Kilmeaden, Waterford Division",0,2,1,1,4,2,2,3,0,2,2,2,3,1,7
"Leamybrien, Waterford Division",2,6,3,3,5,4,5,5,7,2,4,4,4,5,1
"Portlaw, Waterford Division",8,9,2,14,9,3,8,11,20,14,6,3,12,6,11
"Rathgormack, Co Waterford, Waterford Division",2,3,1,3,5,0,0,1,14,0,3,1,2,2,2
"Tramore, Waterford Division",58,32,40,60,68,75,82,65,51,59,50,50,64,29,42
"Dunmore East, Waterford Division",3,3,2,3,9,7,13,9,16,4,6,14,6,2,4
"Ferrybank, Waterford Division",17,8,17,11,40,26,28,22,36,21,35,20,17,19,12
"Passage East, Waterford Division",4,1,2,2,2,3,2,2,1,2,4,1,1,2,0
"Waterford, Waterford Division",214,241,298,388,385,346,370,321,330,353,301,272,342,258,355
"Donnybrook, D.M.R. South Central Division",51,50,42,62,69,77,92,71,44,40,41,45,58,55,57
"Irishtown, D.M.R. South Central Division",23,33,24,29,42,42,34,45,42,41,32,35,40,37,65
"Pearse Street, D.M.R. South Central Division",434,393,392,485,538,545,452,537,553,448,480,520,636,610,699
"Kevin Street, D.M.R. South Central Division",109,110,99,126,172,192,171,188,195,175,160,204,230,243,264
"Kilmainham, D.M.R. South Central Division",96,89,104,109,100,179,198,195,192,150,123,128,177,177,188
"Bridewell Dublin, D.M.R. North Central Division",134,149,103,101,145,164,131,119,117,106,119,127,129,160,169
"Fitzgibbon Street, D.M.R. North Central Division",127,163,85,134,136,168,156,148,153,129,110,135,157,112,132
"Mountjoy, D.M.R. North Central Division",104,128,89,128,151,98,156,201,193,173,181,228,180,178,209
"Store Street, D.M.R. North Central Division",214,208,207,268,290,299,286,337,353,292,308,306,434,461,483
"Balbriggan, D.M.R. Northern Division",39,51,29,43,75,109,108,111,96,88,70,97,103,108,118
"Garristown, D.M.R. Northern Division",1,3,3,2,2,2,2,3,5,2,3,5,10,6,7
"Lusk, D.M.R. Northern Division",36,20,28,19,49,63,40,43,31,24,34,30,48,52,66
"Skerries, D.M.R. Northern Division",32,15,35,24,35,46,30,27,33,33,24,19,27,25,28
"Ballymun, D.M.R. Northern Division",110,132,152,172,177,210,213,188,162,141,133,127,159,153,198
"Dublin Airport, D.M.R. Northern Division",17,18,10,20,11,10,12,5,10,10,9,10,9,20,16
"Santry, D.M.R. Northern Division",64,83,84,105,132,154,138,162,125,110,112,98,125,130,133
"Coolock, D.M.R. Northern Division",95,115,88,122,108,143,124,143,163,104,136,131,190,212,163
"Malahide, D.M.R. Northern Division",33,38,44,49,69,59,66,64,67,62,44,27,53,62,58
"Swords, D.M.R. Northern Division",74,98,95,110,126,130,167,140,124,126,135,151,168,179,187
"Clontarf, D.M.R. Northern Division",60,72,67,65,93,114,139,81,47,69,57,51,70,67,80
"Howth, D.M.R. Northern Division",19,29,29,37,29,32,47,36,36,31,24,22,25,47,49
"Raheny, D.M.R. Northern Division",36,41,40,55,59,70,74,55,44,35,29,42,44,60,66
"Crumlin, D.M.R. Southern Division",88,74,54,53,80,65,76,82,81,65,66,91,91,72,78
"Sundrive Road, D.M.R. Southern Division",91,82,82,118,115,108,112,110,88,83,62,97,100,84,83
"Rathfarnham, D.M.R. Southern Division",87,113,82,118,147,144,134,112,97,79,84,83,113,107,119
"Tallaght, D.M.R. Southern Division",340,428,383,371,369,356,390,349,282,281,281,322,345,323,358
"Rathmines, D.M.R. Southern Division",80,59,60,96,97,95,83,90,94,67,80,87,74,89,81
"Terenure, D.M.R. Southern Division",70,50,57,55,54,47,62,48,46,33,54,37,54,59,55
"Blackrock, Co Dublin, D.M.R. Eastern Division",36,51,73,79,55,60,76,68,59,49,69,60,69,69,67
"Dundrum, D.M.R. Eastern Division",76,60,63,84,79,105,100,94,114,100,106,83,134,151,159
"Cabinteely, D.M.R. Eastern Division",33,35,50,45,52,57,61,75,58,49,65,84,75,60,87
"Dun Laoghaire, D.M.R. Eastern Division",92,82,104,85,144,164,152,164,139,139,93,102,146,118,155
"Shankill, D.M.R. Eastern Division",57,77,66,54,109,107,100,102,70,79,56,97,85,64,79
"Blanchardstown, D.M.R. Western Division",141,150,155,219,235,239,234,306,348,202,193,228,189,308,362
"Cabra, D.M.R. Western Division",61,34,47,53,53,63,83,190,93,63,51,65,39,75,70
"Finglas, D.M.R. Western Division",122,114,98,100,129,167,156,211,243,95,101,111,112,182,204
"Ballyfermot, D.M.R. Western Division",99,116,106,142,111,83,92,110,83,118,100,91,68,105,74
"Clondalkin, D.M.R. Western Division",92,97,87,106,142,121,133,146,121,134,112,118,137,138,147
"Rathcoole, D.M.R. Western Division",15,15,19,17,22,8,25,32,21,28,23,46,41,50,33
"Lucan, D.M.R. Western Division",62,52,69,61,60,86,74,77,80,94,58,76,78,77,80
"Ronanstown, D.M.R. Western Division",136,106,131,137,152,139,148,171,182,171,106,121,169,210,185
